"#","Name","Comment","Designator","Quantity","Part Number (LCSC)","Footprint"
"1","CAPP_0805_M","100n","C1, C3, C9, C10, C15, C18, C21, C24, C27, C30, C31","11","C2909631","CAPP_0805_M"
"2","CAPP_0805_M","220u","C2, C4, C5","3","C2944314","CAPRD250W60D650H1200"
"3","CAPP_0805_M","10n","C6","1","C780691","CAP_0805_M"
"4","CAPP_0805_M","10u","C7, C11, C12","3","C77075","CAPP_0805_M"
"5","293D104X0035A2TE3","22u","C8","1","C122912","CAPP_1206_L"
"6","CAPP_0805_M","100u","C13, C14, C16, C17, C19, C20, C22, C23, C25, C26, C28, C29","12","C106559","CAPPRD350W50D850H1200"
"7","ZMM5V1","15V","D1","1","C181075","DIOMELF350X145L30N"
"8","B540C-13-F","","D2, D8, D9, D11, D12, D13, D14","7","C72264","DIOM794X590X250L114X296N"
"9","LED_0805(2012 Metric)_L_Red","","D3, D6","2","","LED_0805(2012 Metric)_L_Red"
"10","1N4148W","","D4, D5","2","C917030","SOD370X160X125L20X55N"
"11","SESD5481MUT5G","","D7, D10","2","C5122489","DIO_0603_M"
"12","BM04B-GHS-TBT(LF)(SN)","","I2C, SERIAL0","2","C7433470","BM04B-SRSS-TB(LF)(SN)"
"13","PPTC021LFBN-RC","","IO23, IO26, JP12, PROG, RST, TH0","6","","RHDRV2W80P254_2X1_558X250H875_AP1"
"14","OSTYK51104030","","J2","1","C255007","OST_OSTYK51104030"
"15","OSTYK51112030","","J3","1","C601238","OST_OSTYK51112030"
"16","G5L","","K1, K2","2","","G5LE"
"17","IND_0805_M","22n","L1","1","C108962","RES_0805_M"
"18","IND","47u","L2","1","C7529419","Ind_SMD"
"19","IND","33u","L3, L4, L5, L6, L7, L8","6","C167885","SUNLORD_4030S"
"20","2N7002,215","","Q1, Q2","2","C65189","SOT23-3P95_230X110L30X43N"
"21","IRFM9140","","Q4","1","C2972864","DPAK3P230_950X165L70X60T605X665M_AP1"
"22","RES_0805_M","10k","R1, R2, R7, R11","4","C17414","RES_0805_M"
"23","RES_0805_M","2k2","R3, R12, R20, R21","4","C17520","RES_0805_M"
"24","RES_0805_M","8870","R4","1","C5121548","RES_0805_M"
"25","RES_0805_M","1k","R5, R6, R8, R9, R10","5","C17513","RES_0805_M"
"26","RES_0805_M","220k","R13","1","C104108","RES_0805_M"
"27","RES_1206_M","220m","R14, R17, R22, R25, R28, R31","6","C111857","RES_1206_M"
"28","RES_0805_M","100k","R15","1","","RES_0805_M"
"29","ESP32-WROOM","ESP32-WROOM","U1","1","C2980301","ESP32-WROOM"
"30","AMS1117-3.3V","","U2","1","C2688239","SOT223-4P230_695X180L102X75N"
"31","LM2596DSADJG","","U3","1","C347423","DPAK6P170_1419X482L172X78T635X1023N"
"32","XL4001","","U4, U5, U6, U7, U8, U9","6","C2988027","SOIC9P127_493X599X154L63X40T285X225L"
"33","395210002","","Vbuck, Vin","2","C5188434","SHDRV2W125P500_2X1_1000X830H1240"
