"Designator","Mid X (mm)","Mid Y (mm)","Layer","Rotation"
"C1","25.858","42.594","Top","0.0"
"C2","10.16","6.668","Top","270.0"
"C3","18.893","36.462","Top","0.0"
"C4","35.878","25.717","Top","270.0"
"C5","35.878","32.702","Top","90.0"
"C6","2.54","12.065","Top","180.0"
"C7","18.893","34.35","Top","0.0"
"C8","8.67","40.821","Top","270.0"
"C9","6.031","39.029","Top","270.0"
"C10","3.24","44.456","Top","180.0"
"C11","4.16","39.029","Top","270.0"
"C12","1.947","39.029","Top","270.0"
"C13","65.405","123.19","Top","90.0"
"C14","48.895","107.633","Top","0.0"
"C15","48.073","113.347","Top","0.0"
"C16","65.405","102.87","Top","90.0"
"C17","48.895","88.9","Top","0.0"
"C18","48.073","94.297","Top","0.0"
"C19","65.405","84.138","Top","90.0"
"C20","48.895","69.533","Top","0.0"
"C21","48.073","75.247","Top","0.0"
"C22","65.405","65.405","Top","90.0"
"C23","48.895","51.117","Top","0.0"
"C24","48.073","56.515","Top","0.0"
"C25","65.405","46.355","Top","90.0"
"C26","48.895","32.067","Top","0.0"
"C27","48.073","37.465","Top","0.0"
"C28","65.405","26.987","Top","90.0"
"C29","40.322","19.367","Top","90.0"
"C30","48.073","18.415","Top","0.0"
"C31","17.124","32.465","Top","0.0"
"D1","30.804","5.165","Top","270.0"
"D2","18.091","19.6","Top","270.0"
"D3","10.504","84.069","Top","0.0"
"D4","8.282","86.291","Top","180.0"
"D5","27.332","86.291","Top","180.0"
"D6","29.872","83.901","Top","0.0"
"D7","10.475","74.3","Top","0.0"
"D8","57.598","118.745","Top","90.0"
"D9","57.598","99.695","Top","90.0"
"D10","7.3","74.3","Top","180.0"
"D11","57.598","80.645","Top","90.0"
"D12","57.598","61.912","Top","90.0"
"D13","57.598","42.862","Top","90.0"
"D14","57.598","23.812","Top","90.0"
"I2C","19.653","77.948","Top","0.0"
"IO23","3.173","73.66","Top","90.0"
"IO26","3.383","33.431","Top","180.0"
"J2","21.639","124.505","Top","0.0"
"J3","80.962","63.002","Top","270.0"
"JP12","26.913","15.495","Top","180.0"
"K1","10.905","100.283","Top","90.0"
"K2","29.872","100.283","Top","90.0"
"L1","5.091","42.275","Top","0.0"
"L2","27.305","25.803","Top","90.0"
"L3","63.817","115.253","Top","0.0"
"L4","63.817","96.202","Top","0.0"
"L5","63.817","77.153","Top","0.0"
"L6","63.817","58.42","Top","0.0"
"L7","63.817","39.37","Top","0.0"
"L8","63.817","20.32","Top","0.0"
"PROG","26.493","39.737","Top","180.0"
"Q1","6.694","82.799","Top","0.0"
"Q2","25.744","82.799","Top","0.0"
"Q4","23.789","9.207","Top","90.0"
"R1","21.59","65.405","Top","270.0"
"R2","21.731","42.594","Top","180.0"
"R3","27.305","4.128","Top","180.0"
"R4","2.54","10.16","Top","0.0"
"R5","2.54","6.985","Top","180.0"
"R6","3.173","81.739","Top","180.0"
"R7","3.173","83.901","Top","180.0"
"R8","13.997","84.069","Top","0.0"
"R9","33.647","83.901","Top","0.0"
"R10","22.224","81.739","Top","180.0"
"R11","22.224","83.901","Top","180.0"
"R12","10.109","30.49","Top","0.0"
"R13","13.68","30.49","Top","180.0"
"R14","65.087","109.855","Top","270.0"
"R15","17.144","30.49","Top","180.0"
"R17","61.913","90.487","Top","270.0"
"R20","21.588","73.983","Top","0.0"
"R21","17.778","73.983","Top","180.0"
"R22","61.595","71.755","Top","270.0"
"R25","61.595","52.705","Top","270.0"
"R28","61.595","33.337","Top","270.0"
"R31","65.405","14.605","Top","270.0"
"RST","21.413","39.737","Top","180.0"
"SERIAL0","8.858","77.948","Top","0.0"
"TH0","12.343","33.251","Top","180.0"
"U1","6.452","57.647","Top","90.0"
"U2","13.68","39.359","Top","0.0"
"U3","8.572","19.053","Top","0.0"
"U4","49.978","117.157","Top","90.0"
"U5","49.978","98.107","Top","90.0"
"U6","49.978","79.057","Top","90.0"
"U7","49.978","60.325","Top","90.0"
"U8","49.978","41.275","Top","90.0"
"U9","49.978","22.225","Top","90.0"
"Vbuck","54.57","7.652","Top","0.0"
"Vin","40.6","7.653","Top","0.0"
